count,dis,dis_label
3495,http://purl.obolibrary.org/obo/MONDO_0021005,faciodigitogenital syndrome
838,http://purl.obolibrary.org/obo/MONDO_0007032,prune belly syndrome
80,http://purl.obolibrary.org/obo/MONDO_0007036,Achard syndrome
105371,http://purl.obolibrary.org/obo/MONDO_0019287,ectodermal dysplasia syndrome
1747,http://purl.obolibrary.org/obo/MONDO_0018965,Alport syndrome
1077,http://purl.obolibrary.org/obo/MONDO_0007097,Finnish type amyloidosis
4341,http://purl.obolibrary.org/obo/MONDO_0007113,Angelman syndrome
200,http://purl.obolibrary.org/obo/MONDO_0007120,aniridia-absent patella syndrome
133,http://purl.obolibrary.org/obo/MONDO_0007123,ankyloblepharon filiforme adnatum-cleft palate syndrome
2376,http://purl.obolibrary.org/obo/MONDO_0007142,Townes-Brocks syndrome
80,http://purl.obolibrary.org/obo/MONDO_0007147,obstructive sleep apnea syndrome
4383,http://purl.obolibrary.org/obo/MONDO_0019354,Stickler syndrome
11551,http://purl.obolibrary.org/obo/MONDO_0022800,type 2 collagenopathy
64,http://purl.obolibrary.org/obo/MONDO_0007174,Lown-Ganong-Levine syndrome
1700,http://purl.obolibrary.org/obo/MONDO_0007191,Behcet disease
1459,http://purl.obolibrary.org/obo/MONDO_0016085,Cole-Carpenter syndrome
200,http://purl.obolibrary.org/obo/MONDO_0007211,brachydactyly-arterial hypertension syndrome
3940,http://purl.obolibrary.org/obo/MONDO_0016432,heart-hand syndrome
366,http://purl.obolibrary.org/obo/MONDO_0007216,brachydactyly type A2
148,http://purl.obolibrary.org/obo/MONDO_0007225,fibular aplasia-ectrodactyly syndrome
112,http://purl.obolibrary.org/obo/MONDO_0007226,brachydactyly-nystagmus-cerebellar ataxia syndrome
442,http://purl.obolibrary.org/obo/MONDO_0007227,Sillence syndrome
805,http://purl.obolibrary.org/obo/MONDO_0007230,Brachymorphism-onychodysplasia-dysphalangism syndrome
323,http://purl.obolibrary.org/obo/MONDO_0007231,brachytelephalangy-dysmorphism-Kallmann syndrome
505,http://purl.obolibrary.org/obo/MONDO_0007269,dilated cardiomyopathy 1A
1122,http://purl.obolibrary.org/obo/MONDO_0007276,cat-eye syndrome
1274,http://purl.obolibrary.org/obo/MONDO_0007301,cerebrocostomandibular syndrome
45940,http://purl.obolibrary.org/obo/MONDO_0019751,autoinflammatory syndrome
2118,http://purl.obolibrary.org/obo/MONDO_0007318,Alagille syndrome
419,http://purl.obolibrary.org/obo/MONDO_0007321,autosomal dominant chondrodysplasia punctata
1274,http://purl.obolibrary.org/obo/MONDO_0018637,familial chylomicronemia syndrome
1898,http://purl.obolibrary.org/obo/MONDO_0007340,cleidocranial dysplasia 1
183,http://purl.obolibrary.org/obo/MONDO_0007341,cleidorhizomelic syndrome
133,http://purl.obolibrary.org/obo/MONDO_0007346,cochleosaccular degeneration-cataract syndrome
1008,http://purl.obolibrary.org/obo/MONDO_0007352,renal coloboma syndrome
611,http://purl.obolibrary.org/obo/MONDO_0018878,branchiootic syndrome
9463,http://purl.obolibrary.org/obo/MONDO_0016033,Cornelia de Lange syndrome
1641,http://purl.obolibrary.org/obo/MONDO_0007404,Cri-du-chat syndrome
48486,http://purl.obolibrary.org/obo/MONDO_0015338,syndromic craniosynostosis
1328,http://purl.obolibrary.org/obo/MONDO_0007473,Duane retraction syndrome
2862,http://purl.obolibrary.org/obo/MONDO_0007477,3-M syndrome
1645,http://purl.obolibrary.org/obo/MONDO_0016516,Kenny-Caffey syndrome
65,http://purl.obolibrary.org/obo/MONDO_0007486,hereditary benign intraepithelial dyskeratosis
3248,http://purl.obolibrary.org/obo/MONDO_0010004,EEC syndrome
31158,http://purl.obolibrary.org/obo/MONDO_0020066,Ehlers-Danlos syndrome
238,http://purl.obolibrary.org/obo/MONDO_0007539,"encephalopathy, recurrent, of childhood"
1731,http://purl.obolibrary.org/obo/MONDO_0007542,Camurati-Engelmann disease
674,http://purl.obolibrary.org/obo/MONDO_0007603,Felty syndrome
11568,http://purl.obolibrary.org/obo/MONDO_0015452,Coffin-Siris syndrome
185,http://purl.obolibrary.org/obo/MONDO_0007631,"chromosome 16p12.1 deletion syndrome, 520kb"
443,http://purl.obolibrary.org/obo/MONDO_0007635,Frasier syndrome
1014,http://purl.obolibrary.org/obo/MONDO_0007646,Gamstorp-Wohlfart syndrome
142,http://purl.obolibrary.org/obo/MONDO_0007661,Tourette syndrome
67,http://purl.obolibrary.org/obo/MONDO_0007666,glaucoma-sleep apnea syndrome
1109,http://purl.obolibrary.org/obo/MONDO_0007669,renal cysts and diabetes syndrome
1031,http://purl.obolibrary.org/obo/MONDO_0007670,hypotrichosis-lymphedema-telangiectasia syndrome (grouping)
221,http://purl.obolibrary.org/obo/MONDO_0007679,GMS syndrome
329,http://purl.obolibrary.org/obo/MONDO_0100216,DICER1-related tumor predisposition
345,http://purl.obolibrary.org/obo/MONDO_0007686,gray platelet syndrome
406,http://purl.obolibrary.org/obo/MONDO_0016218,Guillain-Barre syndrome
443,http://purl.obolibrary.org/obo/MONDO_0007710,facial hemiatrophy
200,http://purl.obolibrary.org/obo/MONDO_0007711,Bencze syndrome
1319,http://purl.obolibrary.org/obo/MONDO_0007716,alpha thalassemia-intellectual disability syndrome type 1
14466,http://purl.obolibrary.org/obo/MONDO_0016296,holoprosencephaly
79,http://purl.obolibrary.org/obo/MONDO_0007745,Gilbert syndrome
798,http://purl.obolibrary.org/obo/MONDO_0007797,hypoparathyroidism-deafness-renal disease syndrome
1248,http://purl.obolibrary.org/obo/MONDO_0007800,chromosome 18p deletion syndrome
3440,http://purl.obolibrary.org/obo/MONDO_0007804,Pallister-Hall syndrome
112,http://purl.obolibrary.org/obo/MONDO_0007811,ichthyosis-cheek-eyebrow syndrome
2095,http://purl.obolibrary.org/obo/MONDO_0007838,Jacobsen syndrome
6562,http://purl.obolibrary.org/obo/MONDO_0016512,Kabuki syndrome
4447,http://purl.obolibrary.org/obo/MONDO_0018800,Kallmann syndrome
