dis,dis_label,associations_count,phenotypes_count
http://purl.obolibrary.org/obo/MONDO_0001245,microcytic anemia,42,1071
http://purl.obolibrary.org/obo/MONDO_0001246,typhus,,459
http://purl.obolibrary.org/obo/MONDO_0001250,keratomalacia,,28
http://purl.obolibrary.org/obo/MONDO_0001256,arteriovenous hemangioma/malformation,14,1411
http://purl.obolibrary.org/obo/MONDO_0001259,pituitary gland infarction,,697
http://purl.obolibrary.org/obo/MONDO_0001292,autonomic nervous system disorder,196,3802
http://purl.obolibrary.org/obo/MONDO_0001294,Horner syndrome,,80
http://purl.obolibrary.org/obo/MONDO_0001300,autonomic neuropathy,,80
http://purl.obolibrary.org/obo/MONDO_0001302,hypertensive heart disease,,14
http://purl.obolibrary.org/obo/MONDO_0001309,oculomotor nerve paralysis,154,7429
http://purl.obolibrary.org/obo/MONDO_0001314,chondrocalcinosis,28,398
http://purl.obolibrary.org/obo/MONDO_0001318,functional gastric disease,,28
http://purl.obolibrary.org/obo/MONDO_0001323,infant gynecomastia,,14
http://purl.obolibrary.org/obo/MONDO_0001328,thyroid hormone resistance syndrome,182,2484
http://purl.obolibrary.org/obo/MONDO_0001332,palindromic rheumatism,,14
http://purl.obolibrary.org/obo/MONDO_0001334,hypertrichosis of eyelid,14,1369
http://purl.obolibrary.org/obo/MONDO_0001336,familial hyperlipidemia,182,2709
http://purl.obolibrary.org/obo/MONDO_0001341,selective IgA deficiency disease,,224
http://purl.obolibrary.org/obo/MONDO_0001342,dysgammaglobulinemia,,1310
http://purl.obolibrary.org/obo/MONDO_0001343,impaired renal function disease,28,1137
http://purl.obolibrary.org/obo/MONDO_0001347,facioscapulohumeral muscular dystrophy,70,1351
http://purl.obolibrary.org/obo/MONDO_0001353,Bordetella parapertussis infectious disease,,28
http://purl.obolibrary.org/obo/MONDO_0001357,hypochromic anemia,28,819
http://purl.obolibrary.org/obo/MONDO_0001358,bronchial disorder,56,1222
http://purl.obolibrary.org/obo/MONDO_0001377,vitreous syneresis,308,12909
http://purl.obolibrary.org/obo/MONDO_0001384,myopia,,1115
http://purl.obolibrary.org/obo/MONDO_0001390,transient refractive change,,14
http://purl.obolibrary.org/obo/MONDO_0001406,peripheral nervous system neoplasm,238,4741
http://purl.obolibrary.org/obo/MONDO_0001409,esophagitis,,206
http://purl.obolibrary.org/obo/MONDO_0001410,postmenopausal atrophic vaginitis,,14
http://purl.obolibrary.org/obo/MONDO_0001411,synostosis,602,53223
http://purl.obolibrary.org/obo/MONDO_0001414,osteopoikilosis,14,575
http://purl.obolibrary.org/obo/MONDO_0001416,female reproductive organ cancer,168,413
http://purl.obolibrary.org/obo/MONDO_0001422,primary aldosteronism,84,2904
http://purl.obolibrary.org/obo/MONDO_0001429,transient arthropathy,,14
